experiment_id,session_id,device_id,event_id,type,device_time,logged_time,time,confidence_interval,delay,filter_id,eye,gaze_x,gaze_y,gaze_z,eye_cam_x,eye_cam_y,eye_cam_z,angle_x,angle_y,raw_x,raw_y,pupil_measure1,pupil_measure1_type,pupil_measure2,pupil_measure2_type,ppd_x,ppd_y,velocity_x,velocity_y,velocity_xy,status
1,1,0,7052,51,9704.555771000001,79.41126620000068,79.27779720000217,-1.0,0.133469,0,22,-77.0,-96.0,0.0,0.67566854,2.1283746,53.551517,-2.2369206,1.7614387,0.32505167,0.49214944,47.677834,74,3.3584673,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,7262,51,9705.439816,80.293920600001,80.16184220000105,-1.0,0.1320784,0,22,-179.0,-84.0,0.0,0.67566854,2.1283746,53.551517,-2.2860804,1.7723614,0.3191872,0.49288687,45.345356,74,3.1877446,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,7792,51,9707.675658,82.50402440000107,82.3976842000011,-1.0,0.1063402,0,22,127.0,-35.0,0.0,0.81170493,1.9772476,52.711243,-2.1592045,1.6892352,0.3463852,0.47751126,48.46952,74,3.3387203,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8120,51,9709.051546,83.9401424000007,83.77357220000158,-1.0,0.1665702,0,21,-82.0,-123.0,0.0,0.50464034,-6.767609,69.989624,-2.2338624,1.2925795,0.36906943,0.5724079,34.213844,74,3.1144588,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8121,51,9709.197663,84.13067140000021,83.91968920000181,-1.0,0.2109822,0,22,190.0,-419.0,0.0,0.76850194,2.0507455,53.295372,-2.0526505,1.8442389,0.3616001,0.520503,36.260143,74,2.5326157,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8122,51,9709.277132000001,84.20548800000142,83.99915820000206,-1.0,0.2063298,0,22,178.0,-415.0,0.0,0.76850194,2.0507455,53.295372,-2.0565147,1.844647,0.3605266,0.52060556,42.454468,74,2.9723368,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8124,51,9709.431597,84.31514180000158,84.15362320000168,-1.0,0.1615186,0,22,38.0,-313.0,0.0,0.76850194,2.0507455,53.295372,-2.1398253,1.8328643,0.33807838,0.5146281,50.62104,74,3.562119,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8125,51,9709.439601,84.31514180000158,84.16162720000102,-1.0,0.1535146,0,22,24.0,-327.0,0.0,0.76850194,2.0507455,53.295372,-2.1428475,1.8420159,0.33799183,0.515548,49.552555,74,3.485107,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8126,51,9709.447666,84.31514180000158,84.16969220000101,-1.0,0.1454496,0,22,18.0,-339.0,0.0,0.76850194,2.0507455,53.295372,-2.143151,1.848539,0.3380391,0.5161603,49.45059,74,3.4774442,77,0.0,0.0,0.0,0.0,0.0,0
1,1,0,8127,51,9709.455597,84.31514180000158,84.17762320000111,-1.0,0.1375186,0,22,17.0,-351.0,0.0,0.76850194,2.0507455,53.295372,-2.1409001,1.8540742,0.33818218,0.5169814,48.888203,74,3.4376302,77,0.0,0.0,0.0,0.0,0.0,0
