 ** Video Info ** 
Video File:
	Name:	poisson.mp4
	Frame Count:	379.0
	Video Duration:	14.037037037037036
	Width:	1280
	Height:	720
	FPS:	27.0
	Play Audio Track:	True
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1280.  720.]
	Refresh Rate (reported / calculated):	60 / 60.03691069243398

 ** Video Playback Stats ** 
Playback Time: 14.161
Total Frames Dropped: 3
Draw duration (min, max, mean): (0.003008, 0.024939, 0.004086)
Flip duration (min, max, mean): (0.004389, 0.095396, 0.012759)
Draw + Flip duration (min, max, mean): (0.012378, 0.100319, 0.016846)
Frame Display Interval (min, max, mean): (0.000000, 1.034616, 0.040115)
Effective Frame Interval (min, max, mean): (0.000000, 1.034616, 0.040038)

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.
frame_num_dx:	Equals current frame_num - the last flipped frame_num.
dropped_count:	Total number of video frames dropped so far.
draw_duration:	The time taken for the current video frames .draw() call to return.
flip_duration:	The time taken for the win.flip() call to return.
flip_interval:	current frame_num frame_flip_time - last frame_flip_time.
per_frame_interval:	Equals flip_interval / frame_num_dx.
fps:	Equals playback_duration / current frame_num.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration	frame_num_dx	dropped_count	draw_duration	flip_duration	flip_interval	per_frame_interval	fps
84	50.518096	4.051033	1	3	0.004077	0.012596	0.035966	0.035966	20.735
85	50.554034	4.086970	1	3	0.003263	0.012442	0.035938	0.035938	20.798
86	50.592869	4.125805	1	3	0.003462	0.013096	0.038835	0.038835	20.844
87	50.628180	4.161116	1	3	0.003540	0.011563	0.035311	0.035311	20.908
88	50.667397	4.200333	1	3	0.004210	0.013120	0.039217	0.039217	20.951
89	50.704127	4.237063	1	3	0.004950	0.012242	0.036730	0.036730	21.005
90	50.739671	4.272607	1	3	0.003539	0.012285	0.035544	0.035544	21.064
91	50.777947	4.310883	1	3	0.004175	0.012043	0.038276	0.038276	21.109
92	50.812690	4.345627	1	3	0.003655	0.011450	0.034743	0.034743	21.171
93	50.851336	4.384272	1	3	0.003775	0.013077	0.038646	0.038646	21.212
94	50.887297	4.420233	1	3	0.003559	0.012369	0.035961	0.035961	21.266
95	50.925929	4.458865	1	3	0.003519	0.013110	0.038632	0.038632	21.306
96	50.960917	4.493854	1	3	0.003365	0.011368	0.034989	0.034989	21.363
97	51.000171	4.533107	1	3	0.003933	0.013139	0.039254	0.039254	21.398
98	51.034040	4.566976	1	3	0.004019	0.011467	0.033869	0.033869	21.458
99	51.075412	4.608349	1	3	0.003849	0.014112	0.041372	0.041372	21.483
100	51.110234	4.643170	1	3	0.004773	0.011416	0.034822	0.034822	21.537
101	51.144908	4.677844	1	3	0.003491	0.011464	0.034674	0.034674	21.591
102	51.187250	4.720186	1	3	0.004324	0.014067	0.042342	0.042342	21.609
103	51.221168	4.754104	1	3	0.003748	0.011671	0.033918	0.033918	21.665
104	51.259554	4.792490	1	3	0.003751	0.013187	0.038386	0.038386	21.701
105	51.294840	4.827776	1	3	0.003358	0.011946	0.035286	0.035286	21.749
106	51.333281	4.866217	1	3	0.003581	0.013225	0.038441	0.038441	21.783
107	51.370573	4.903510	1	3	0.004926	0.012286	0.037293	0.037293	21.821
108	51.406212	4.939149	1	3	0.003540	0.012335	0.035639	0.035639	21.866
109	51.443781	4.976717	1	3	0.003592	0.012031	0.037568	0.037568	21.902
110	51.480660	5.013596	1	3	0.003543	0.012058	0.036879	0.036879	21.940
111	51.517217	5.050153	1	3	0.003859	0.012396	0.036557	0.036557	21.980
112	51.555864	5.088801	1	3	0.003893	0.013096	0.038648	0.038648	22.009
113	51.592120	5.125056	1	3	0.003967	0.012381	0.036256	0.036256	22.049
114	51.630271	5.163208	1	3	0.004487	0.012118	0.038151	0.038151	22.079
115	51.666513	5.199449	1	3	0.003727	0.012241	0.036242	0.036242	22.118
116	51.703331	5.236267	1	3	0.004621	0.012250	0.036818	0.036818	22.153
117	51.740636	5.273572	1	3	0.004849	0.012409	0.037305	0.037305	22.186
118	51.776803	5.309739	1	3	0.005061	0.011427	0.036167	0.036167	22.223
119	51.816428	5.349364	1	3	0.003447	0.013904	0.039625	0.039625	22.246
120	51.851218	5.384154	1	3	0.004528	0.011618	0.034790	0.034790	22.288
121	51.890059	5.422996	1	3	0.003734	0.013339	0.038841	0.038841	22.312
122	51.926884	5.459820	1	3	0.005412	0.011602	0.036824	0.036824	22.345
123	51.961796	5.494732	1	3	0.003500	0.011436	0.034912	0.034912	22.385
124	51.999975	5.532911	1	3	0.003255	0.013052	0.038179	0.038179	22.411
125	52.035455	5.568391	1	3	0.003572	0.012304	0.035480	0.035480	22.448
126	52.074100	5.607037	1	3	0.003552	0.013125	0.038646	0.038646	22.472
127	52.109715	5.642651	1	3	0.003956	0.011384	0.035614	0.035614	22.507
128	52.146974	5.679911	1	3	0.003696	0.012000	0.037260	0.037260	22.536
129	52.186824	5.719761	1	3	0.004257	0.013365	0.039850	0.039850	22.553
130	52.220313	5.753249	1	3	0.003484	0.011755	0.033489	0.033489	22.596
131	52.259626	5.792562	1	3	0.004399	0.013228	0.039313	0.039313	22.615
132	52.293638	5.826575	1	3	0.005151	0.010600	0.034012	0.034012	22.655
133	52.332888	5.865825	1	3	0.004071	0.013026	0.039250	0.039250	22.674
134	52.368847	5.901783	1	3	0.003469	0.012698	0.035959	0.035959	22.705
135	52.407275	5.940211	1	3	0.003648	0.013058	0.038428	0.038428	22.726
136	52.443353	5.976289	1	3	0.004461	0.011416	0.036078	0.036078	22.757
137	52.482207	6.015144	1	3	0.003637	0.013183	0.038854	0.038854	22.776
138	52.517677	6.050613	1	3	0.003938	0.012453	0.035470	0.035470	22.808
139	52.556106	6.089043	1	3	0.003663	0.013304	0.038429	0.038429	22.828
140	52.592453	6.125389	1	3	0.003962	0.012391	0.036347	0.036347	22.856
141	52.630299	6.163235	1	3	0.004645	0.012195	0.037846	0.037846	22.878
142	52.666044	6.198980	1	3	0.004037	0.012684	0.035745	0.035745	22.907
143	52.704523	6.237459	1	3	0.003323	0.012936	0.038479	0.038479	22.926
144	52.741803	6.274739	1	3	0.003602	0.013049	0.037280	0.037280	22.949
145	52.777653	6.310589	1	3	0.004295	0.011340	0.035850	0.035850	22.977
146	52.813319	6.346255	1	3	0.003924	0.011449	0.035666	0.035666	23.006
147	52.852919	6.385855	1	3	0.004856	0.013215	0.039600	0.039600	23.020
148	52.889635	6.422571	1	3	0.004370	0.012514	0.036716	0.036716	23.044
149	52.925864	6.458800	1	3	0.004709	0.011501	0.036229	0.036229	23.069
150	52.962275	6.495212	1	3	0.005394	0.011323	0.036412	0.036412	23.094
151	52.999568	6.532504	1	3	0.004732	0.012387	0.037292	0.037292	23.115
152	53.035324	6.568260	1	3	0.003709	0.012267	0.035756	0.035756	23.142
153	53.073874	6.606810	1	3	0.003550	0.013082	0.038550	0.038550	23.158
154	53.109023	6.641960	1	3	0.003589	0.011291	0.035150	0.035150	23.186
155	53.148676	6.681613	1	3	0.004507	0.013115	0.039653	0.039653	23.198
156	53.184077	6.717013	1	3	0.005093	0.011939	0.035400	0.035400	23.225
157	53.219744	6.752680	1	3	0.003541	0.012346	0.035668	0.035668	23.250
158	53.259064	6.792001	1	3	0.004046	0.013246	0.039320	0.039320	23.263
159	53.294188	6.827124	1	3	0.004133	0.011415	0.035123	0.035123	23.289
160	53.331863	6.864800	1	3	0.003386	0.012916	0.037676	0.037676	23.307
161	53.370630	6.903566	1	3	0.003858	0.013189	0.038766	0.038766	23.321
162	53.406374	6.939310	1	3	0.003649	0.012355	0.035744	0.035744	23.345
163	53.445237	6.978173	1	3	0.004823	0.012138	0.038863	0.038863	23.359
164	53.479839	7.012776	1	3	0.003394	0.011284	0.034602	0.034602	23.386
165	53.517925	7.050861	1	3	0.003639	0.013227	0.038085	0.038085	23.401
166	53.553875	7.086812	1	3	0.003397	0.012507	0.035951	0.035951	23.424
167	53.593390	7.126326	1	3	0.004208	0.013323	0.039514	0.039514	23.434
168	53.626948	7.159884	1	3	0.004207	0.010626	0.033558	0.033558	23.464
169	53.665962	7.198898	1	3	0.003887	0.013062	0.039014	0.039014	23.476
170	53.702029	7.234965	1	3	0.003827	0.012288	0.036067	0.036067	23.497
171	53.740920	7.273856	1	3	0.003835	0.013004	0.038891	0.038891	23.509
172	53.776780	7.309716	1	3	0.004484	0.011318	0.035860	0.035860	23.530
173	53.812520	7.345456	1	3	0.004141	0.011507	0.035740	0.035740	23.552
174	53.851810	7.384746	1	3	0.004742	0.013283	0.039290	0.039290	23.562
175	53.887780	7.420716	1	3	0.003769	0.012329	0.035970	0.035970	23.583
176	53.923479	7.456415	1	3	0.003556	0.012340	0.035699	0.035699	23.604
177	53.961694	7.494631	1	3	0.004318	0.012201	0.038216	0.038216	23.617
178	54.000584	7.533521	1	3	0.004452	0.013053	0.038890	0.038890	23.628
179	54.036943	7.569879	1	3	0.003740	0.012230	0.036359	0.036359	23.646
180	54.072651	7.605587	1	3	0.003442	0.012331	0.035707	0.035707	23.667
181	54.110614	7.643551	1	3	0.003815	0.012056	0.037964	0.037964	23.680
182	54.145796	7.678732	1	3	0.003673	0.011484	0.035182	0.035182	23.702
183	54.188166	7.721102	1	3	0.004456	0.014126	0.042370	0.042370	23.701
184	54.222170	7.755106	1	3	0.004044	0.011643	0.034004	0.034004	23.726
185	54.258817	7.791753	1	3	0.004018	0.012442	0.036647	0.036647	23.743
186	54.295748	7.828684	1	3	0.003409	0.012064	0.036930	0.036930	23.759
187	54.334143	7.867079	1	3	0.003912	0.013096	0.038395	0.038395	23.770
188	54.370032	7.902968	1	3	0.003488	0.012459	0.035889	0.035889	23.789
189	54.409581	7.942517	1	3	0.004550	0.013059	0.039550	0.039550	23.796
190	54.443255	7.976191	1	3	0.003745	0.011653	0.033674	0.033674	23.821
191	54.480317	8.013253	1	3	0.003550	0.012016	0.037062	0.037062	23.836
192	54.521028	8.053964	1	3	0.005136	0.013229	0.040711	0.040711	23.839
193	54.555276	8.088213	1	3	0.004953	0.011758	0.034249	0.034249	23.862
194	54.591514	8.124451	1	3	0.003688	0.012374	0.036238	0.036238	23.879
195	54.629233	8.162170	1	3	0.003794	0.012078	0.037719	0.037719	23.891
